Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/api/Values,10000,17,10,187,9.61,0.000%,1497.00599,638.05,631.75,436.4
/ValuesService/Get,10000,24,10,94,9.51,0.000%,1411.83114,567.28,605.46,411.4
/api/Values/100,10000,295,19,973,121.34,0.000%,286.73835,2326.27,122.13,8307.6
/ValuesService/GetSalesOrderHeaderDetails/100,10000,350,22,5167,211.25,0.020%,249.43254,6946.06,113.52,28515.8
/api/Values/500,10000,1287,67,7486,536.34,0.030%,72.92191,20600.86,31.05,289285.9
/ValuesService/GetSalesOrderHeaderDetails/500,10000,1517,70,18556,634.12,0.030%,62.00551,23848.25,28.22,393845.8
/api/Values/1000,10000,2495,142,10942,840.09,0.100%,38.74933,27687.96,16.53,731689.5
/ValuesService/GetSalesOrderHeaderDetails/1000,10000,3018,144,9616,706.68,0.050%,32.30475,25145.40,14.73,797062.1
TOTAL,80000,1126,10,18556,1189.88,0.029%,66.90692,18372.90,29.23,281194.3
